Name,Stars,Forks,Months,TF_version,Torch_version
altosaar/variational-autoencoder,691.0,188.0,48.0,b'name: dev\nchannels:\n  - defaults\ndependencies:\n  - blas=1.0=mkl\n  - ca-certificates=2019.5.15=1\n  - certifi=2019.6.16=py37_1\n  - freetype=2.9.1=hb4e5f40_0\n  - imageio=2.5.0=py37_0\n  - intel-openmp=2019.4=233\n  - jpeg=9b=he5867d9_2\n  - libcxx=4.0.1=hcfea43d_1\n  - libcxxabi=4.0.1=hcfea43d_1\n  - libedit=3.1.20181209=hb402a30_0\n  - libffi=3.2.1=h475c297_4\n  - libgfortran=3.0.1=h93005f0_2\n  - libpng=1.6.37=ha441bb4_0\n  - libtiff=4.0.10=hcb84e12_2\n  - mkl=2019.4=233\n  - mkl-service=2.3.0=py37hfbe908c_0\n  - mkl_fft=1.0.14=py37h5e564d8_0\n  - mkl_random=1.0.2=py37h27c97d8_0\n  - ncurses=6.1=h0a44026_1\n  - numpy=1.16.5=py37hacdab7b_0\n  - numpy-base=1.16.5=py37h6575580_0\n  - olefile=0.46=py37_0\n  - openssl=1.1.1d=h1de35cc_1\n  - pillow=6.1.0=py37hb68e598_0\n  - python=3.7.4=h359304d_1\n  - readline=7.0=h1de35cc_5\n  - setuptools=41.0.1=py37_0\n  - six=1.12.0=py37_0\n  - sqlite=3.29.0=ha441bb4_0\n  - tk=8.6.8=ha441bb4_0\n  - wheel=0.33.4=py37_0\n  - xz=5.2.4=h1de35cc_4\n  - zlib=1.2.11=h1de35cc_3\n  - zstd=1.3.7=h5bba6e5_0\n  - pip:\n    - absl-py==0.8.0\n    - astor==0.8.0\n    - attrs==19.1.0\n    - chardet==3.0.4\n    - cloudpickle==1.2.2\n    - decorator==4.4.0\n    - dill==0.3.0\n    - future==0.17.1\n    - gast==0.3.2\n    - google-pasta==0.1.7\n    - googleapis-common-protos==1.6.0\n    - grpcio==1.23.0\n    - h5py==2.10.0\n    - idna==2.8\n    - keras-applications==1.0.8\n    - keras-preprocessing==1.1.0\n    - markdown==3.1.1\n    - pip==19.2.3\n    - promise==2.2.1\n    - protobuf==3.9.1\n    - psutil==5.6.3\n    - requests==2.22.0\n    - tensorboard==1.14.0\n    - tensorflow==1.14.0\n    - tensorflow-datasets==1.2.0\n    - tensorflow-estimator==1.14.0\n    - tensorflow-metadata==0.14.0\n    - tensorflow-probability==0.7.0\n    - termcolor==1.1.0\n    - tqdm==4.36.0\n    - urllib3==1.25.3\n    - werkzeug==0.15.6\n    - wrapt==1.11.2\nprefix: /usr/local/anaconda3/envs/dev\n\n',none
brade31919/SRGAN-tensorflow,688.0,250.0,36.0,none,none
tobegit3hub/simple_tensorflow_serving,688.0,182.0,24.0,ntensorflow>=1.0.0,none
timctho/convolutional-pose-machines-tensorflow,683.0,261.0,36.0,none,none
bethesirius/ChosunTruck,683.0,100.0,48.0,none,none
tf-encrypted/tf-encrypted,682.0,112.0,24.0,ntensorflow==1.15.2,none
srvk/eesen,679.0,320.0,60.0,none,none
tensorflow/swift-apis,677.0,128.0,12.0,none,none
krasserm/super-resolution,677.0,163.0,24.0,b'name: sisr\ndependencies:\n- python=3.6\n- pip\n- tqdm=4.32.1\n- Pillow=6.0.0\n- matplotlib=3.1.1\n- pip:\n  - tensorflow==2.1.0\n  - tensorflow-addons==0.7.0\n',none
didi/AoE,675.0,101.0,12.0,none,none
fidler-lab/polyrnn-pp,674.0,132.0,24.0,ntensorflow-tensorboard==0.1.8,none
kevinzakka/spatial-transformer-network,673.0,206.0,36.0,none,none
rcmalli/keras-vggface,672.0,257.0,48.0,none,none
Timthony/self_drive,664.0,188.0,24.0,none,none
lhelontra/tensorflow-on-arm,659.0,183.0,36.0,none,none
calclavia/DeepJ,652.0,94.0,36.0,ntensorflow-gpu,none
rishizek/tensorflow-deeplab-v3-plus,651.0,277.0,24.0,ntensorflow-gpu==1.12.0,none
ProHiryu/bert-chinese-ner,651.0,220.0,24.0,none,none
hankcs/CS224n,650.0,282.0,36.0,none,none
yeephycho/tensorflow-face-detection,647.0,234.0,36.0,none,none
BMW-InnovationLab/BMW-TensorFlow-Training-GUI,647.0,115.0,12.0,none,none
tensorflow/neural-structured-learning,646.0,102.0,12.0,none,none
cardwing/Codes-for-Lane-Detection,645.0,238.0,24.0,none,none
xhujoy/CycleGAN-tensorflow,642.0,290.0,36.0,b'tensorflow-gpu,none
danielsabinasz/TensorSlow,636.0,89.0,36.0,none,none
onnx/onnx-tensorflow,635.0,174.0,36.0,none,none
rameshvarun/NeuralKart,630.0,52.0,36.0,none,none
amitshekhariitbhu/Android-TensorFlow-Lite-Example,629.0,194.0,24.0,none,none
TobiasLee/Text-Classification,627.0,183.0,36.0,none,none
itdxer/neupy,625.0,138.0,60.0,none,none
diegoalejogm/gans,623.0,278.0,36.0,ntensorflow-estimator==2.1.0,ntorchvision==0.5.0
sicara/tf-explain,621.0,54.0,12.0,none,none
taki0112/SENet-Tensorflow,619.0,237.0,36.0,none,none
pannous/tensorflow-ocr,618.0,223.0,48.0,n#pipi2 https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-1.5.0-cp27-none-linux_x86_64.whl # NO SSE4.1,none
wookayin/tensorflow-talk-debugging,618.0,152.0,48.0,none,none
lmb-freiburg/hand3d,614.0,222.0,36.0,none,none
stratospark/food-101-keras,614.0,214.0,36.0,none,none
androidthings/sample-tensorflow-imageclassifier,613.0,192.0,36.0,none,none
auroua/InsightFace_TF,612.0,245.0,24.0,none,none
cerndb/dist-keras,612.0,169.0,48.0,none,none
Dobiasd/frugally-deep,611.0,137.0,48.0,none,none
getnamo/tensorflow-ue4,609.0,119.0,48.0,none,none
Spandan-Madan/Me_Bot,608.0,47.0,24.0,none,none
hollobit/All-About-the-GAN,603.0,149.0,36.0,none,none
IBM/FfDL,601.0,177.0,24.0,none,none
yoyoyo-yo/DeepLearningMugenKnock,601.0,71.0,12.0,ntensorflow,ntorchvision
Kismuz/btgym,594.0,177.0,36.0,none,none
santi-pdp/segan,593.0,238.0,36.0,ntensorflow_gpu==0.12.1,none
GoogleCloudPlatform/tf-estimator-tutorials,593.0,195.0,24.0,b'tensorflow,none
google/nucleus,590.0,88.0,24.0,none,none
Mostafa-Samir/DNC-tensorflow,589.0,169.0,48.0,none,none
guan-yuan/awesome-AutoML-and-Lightweight-Models,588.0,128.0,24.0,none,none
ragulpr/wtte-rnn,586.0,145.0,36.0,none,none
sudharsan13296/Hands-On-Meta-Learning-With-Python,584.0,190.0,24.0,none,none
edvardHua/PoseEstimationForMobile,580.0,180.0,24.0,none,none
nikhilk/node-tensorflow,579.0,61.0,60.0,none,none
JackonYang/captcha-tensorflow,579.0,193.0,36.0,n# tensorflow==2.1.0,none
akirasosa/mobile-semantic-segmentation,578.0,120.0,36.0,none,none
YixuanLi/densenet-tensorflow,577.0,202.0,48.0,none,none
kaiwaehner/kafka-streams-machine-learning-examples,574.0,212.0,36.0,none,none
williamFalcon/test-tube,573.0,52.0,36.0,none,ntorch>=1.1.0
PatWie/CppNumericalSolvers,571.0,147.0,72.0,none,none
MagicCube/tensorflow-rex-run,571.0,94.0,24.0,none,none
ikostrikov/TensorFlow-VAE-GAN-DRAW,569.0,175.0,60.0,none,none
mokemokechicken/reversi-alpha-zero,569.0,154.0,36.0,ntensorflow==1.4.1,none
imcaspar/gpt2-ml,570.0,140.0,12.0,none,none
juliandewit/kaggle_ndsb2017,569.0,273.0,36.0,none,none
HKUST-KnowComp/R-Net,566.0,209.0,36.0,none,none
yorkie/tensorflow-nodejs,566.0,55.0,36.0,none,none
motlabs/awesome-ml-demos-with-ios,564.0,79.0,24.0,none,none
linkedin/TonY,562.0,127.0,24.0,none,none
ShannonAI/service-streamer,563.0,88.0,12.0,none,none
natanielruiz/android-yolo,561.0,203.0,48.0,none,none
jiegzhan/multi-class-text-classification-cnn-rnn,560.0,260.0,48.0,none,none
Zardinality/WGAN-tensorflow,560.0,203.0,36.0,none,none
miyosuda/async_deep_reinforce,559.0,190.0,48.0,none,none
szagoruyko/functional-zoo,559.0,90.0,36.0,none,npytorchviz
sjvasquez/web-traffic-forecasting,559.0,213.0,36.0,none,none
jiny2001/dcscn-super-resolution,557.0,185.0,36.0,none,none
GaoQ1/rasa_chatbot_cn,557.0,197.0,24.0,none,none
NVIDIA-AI-IOT/tf_trt_models,552.0,198.0,24.0,none,none
carpedm20/simulated-unsupervised-tensorflow,551.0,150.0,48.0,none,none
suriyadeepan/practical_seq2seq,550.0,264.0,48.0,none,none
adeshpande3/Facebook-Messenger-Bot,548.0,220.0,36.0,none,none
microsoft/Windows-Machine-Learning,548.0,267.0,24.0,none,none
torrvision/siamfc-tf,547.0,186.0,36.0,ntensorflow-gpu==1.1.0,none
TheAbhiKumar/tensorflow-value-iteration-networks,546.0,127.0,48.0,none,none
sadeepj/crfasrnn_keras,544.0,169.0,36.0,b'tensorflow,none
FloopCZ/tensorflow_cc,543.0,144.0,36.0,none,none
lambdaji/tf_repos,541.0,262.0,24.0,none,none
titu1994/neural-image-assessment,540.0,175.0,24.0,none,none
onnx/tensorflow-onnx,541.0,155.0,24.0,none,none
nyukat/breast_cancer_classifier,536.0,150.0,24.0,none,ntorchvision>=0.2.0
deepdrive/deepdrive,535.0,97.0,36.0,none,none
Kyubyong/tensorflow-exercises,534.0,182.0,48.0,none,none
PAIR-code/saliency,533.0,115.0,36.0,none,none
charlesXu86/Chatbot_CN,532.0,252.0,24.0,none,none
yuxitong/TensorFlowAndroidDemo,531.0,152.0,24.0,none,none
monikkinom/ner-lstm,530.0,180.0,48.0,none,none
awjuliani/TF-Tutorials,525.0,199.0,48.0,none,none
yuanxiaosc/Entity-Relation-Extraction,525.0,150.0,12.0,none,none
philferriere/dlwin,524.0,99.0,48.0,none,none
nerox8664/pytorch2keras,522.0,90.0,36.0,ntensorflow,ntorchvision
yinguobing/head-pose-estimation,520.0,146.0,36.0,none,none
snipsco/tract,513.0,65.0,36.0,none,none
scofield7419/sequence-labeling-BiLSTM-CRF,511.0,220.0,36.0,b'tensorflow==1.10.0,none
batzner/indrnn,508.0,124.0,24.0,b'tensorflow~=1.5,none
bendidi/Tracking-with-darkflow,507.0,184.0,36.0,none,none
madalinabuzau/tensorflow-eager-tutorials,505.0,111.0,24.0,none,none
wubinzzu/NeuRec,506.0,130.0,12.0,ntensorflow==1.12.3,none
bshao001/ChatLearner,504.0,184.0,36.0,none,none
tugstugi/dl-colab-notebooks,505.0,139.0,12.0,none,none
kpe/bert-for-tf2,501.0,98.0,12.0,n# tensorflow >= 2.0.0 # (should be installed manually),none
SharpAI/DeepCamera,498.0,104.0,12.0,none,none
broadinstitute/keras-rcnn,496.0,204.0,36.0,none,none
jedld/tensor_stream,491.0,15.0,24.0,none,none
jonbruner/generative-adversarial-networks,490.0,242.0,36.0,none,none
iitzco/faced,490.0,132.0,24.0,ntensorflow,none
Adamdad/keras-YOLOv3-mobilenet,489.0,143.0,24.0,none,none
DetectionTeamUCAS/R2CNN_Faster-RCNN_Tensorflow,488.0,158.0,24.0,none,none
aqibsaeed/Multilabel-timeseries-classification-with-LSTM,487.0,177.0,48.0,none,none
XanaduAI/pennylane,485.0,133.0,24.0,none,none
BlackHC/tfpyth,484.0,79.0,12.0,none,none
dongjun-Lee/text-summarization-tensorflow,482.0,164.0,24.0,none,none
DrewNF/Tensorflow_Object_Tracking_Video,480.0,198.0,48.0,none,none
kozistr/Awesome-GANs,479.0,136.0,36.0,b'tensorflow-gpu >= 1.8.0,none
yukezhu/tensorflow-reinforce,478.0,137.0,48.0,none,none
serengil/tensorflow-101,478.0,364.0,36.0,none,none
inoryy/reaver,478.0,81.0,36.0,none,none
vladfi1/phillip,475.0,73.0,48.0,none,none
carpedm20/pixel-rnn-tensorflow,474.0,132.0,48.0,none,none
chrisranderson/beholder,474.0,20.0,36.0,none,none
khanrc/tf.gans-comparison,474.0,76.0,36.0,none,none
taki0112/Densenet-Tensorflow,472.0,184.0,36.0,none,none
dongjun-Lee/text-classification-models-tf,471.0,148.0,24.0,none,none
anantzoid/Conditional-PixelCNN-decoder,470.0,85.0,48.0,none,none
lvapeab/nmt-keras,468.0,125.0,48.0,none,none
ahmetozlu/vehicle_counting_tensorflow,468.0,231.0,24.0,ntensorflow>=1.3.0,none
svjan5/GNNs-for-NLP,465.0,63.0,12.0,ntensorflow==1.14.0,ntorch==1.2.0
xxbb1234021/speech_recognition,464.0,236.0,24.0,none,none
sql-machine-learning/elasticdl,459.0,81.0,24.0,none,none
rndbrtrnd/udacity-deep-learning,457.0,255.0,48.0,none,none
HadoopIt/rnn-nlu,454.0,169.0,48.0,none,none
MarvinTeichmann/MultiNet,453.0,232.0,48.0,none,none
uclaacmai/Generative-Adversarial-Network-Tutorial,452.0,183.0,36.0,none,none
lmb-freiburg/demon,451.0,146.0,36.0,none,none
zsdonghao/text-to-image,453.0,144.0,48.0,none,none
zsdonghao/deep-learning-book,443.0,228.0,36.0,none,none
georgesung/ssd_tensorflow_traffic_sign_detection,442.0,220.0,36.0,none,none
MindorksOpenSource/AndroidTensorFlowMNISTExample,442.0,103.0,36.0,none,none
tegg89/SRCNN-Tensorflow,441.0,239.0,48.0,none,none
PetroWu/AutoPortraitMatting,441.0,141.0,36.0,ntensorflow==0.12.1,none
maelfabien/Machine_Learning_Tutorials,440.0,152.0,12.0,none,none
khundman/telemanom,437.0,109.0,24.0,ntensorflow==2.0.1',none
tensorlayer/RLzoo,436.0,38.0,12.0,ntensorflow-probability==0.8.0,none
weinman/cnn_lstm_ctc_ocr,435.0,155.0,36.0,none,none
philipperemy/deep-speaker,435.0,157.0,36.0,ntensorflow==2.1.0,none
ricsinaruto/Seq2seqChatbots,433.0,63.0,36.0,ntensorflow-gpu==1.15.2,none
huxiaoman7/PaddlePaddle_code,432.0,164.0,36.0,none,none
Burton2000/CS231n-2017,431.0,177.0,36.0,none,none
lbeaucourt/Object-detection,430.0,186.0,24.0,none,none
re-search/DocProduct,430.0,113.0,12.0,ntensorflow-gpu==2.0.0-alpha0,none
twhui/LiteFlowNet,429.0,82.0,24.0,none,none
ModelDepot/tfjs-yolo-tiny,428.0,80.0,24.0,none,none
crazydonkey200/tensorflow-char-rnn,427.0,287.0,48.0,none,none
mouradmourafiq/tensorflow-lstm-regression,424.0,210.0,48.0,ntensorflow==1.1.0,none
blakeblackshear/frigate,424.0,75.0,12.0,none,none
hollance/TensorFlow-iOS-Example,421.0,91.0,36.0,none,none
raghakot/keras-text,420.0,99.0,36.0,none,none
nicolas-ivanov/tf_seq2seq_chatbot,416.0,225.0,60.0,b'tensorflow==0.9.0rc0,none
shekkizh/WassersteinGAN.tensorflow,416.0,137.0,36.0,none,none
hfp/libxsmm,416.0,101.0,72.0,none,none
sourcedexter/tfClassifier,415.0,260.0,36.0,none,none
PatrickLib/captcha_recognize,415.0,139.0,36.0,none,none
PINTO0309/OpenVINO-YoloV3,417.0,133.0,24.0,none,none
wbenbihi/hourglasstensorlfow,414.0,169.0,36.0,none,none
hamelsmu/code_search,415.0,121.0,24.0,none,none
stanfordnlp/mac-network,413.0,107.0,24.0,ntensorflow,ntorchvision
lspvic/jupyter_tensorboard,412.0,56.0,36.0,none,none
loretoparisi/CapsNet,411.0,108.0,36.0,none,none
kubeflow/arena,410.0,106.0,24.0,none,none
dformoso/sklearn-classification,410.0,165.0,36.0,none,none
tuan3w/visual_search,407.0,129.0,36.0,none,none
liuheng92/tensorflow_PSENet,407.0,148.0,12.0,none,none
jzilly/RecurrentHighwayNetworks,406.0,75.0,48.0,none,none
timctho/VNect-tensorflow,405.0,103.0,36.0,none,none
yinguobing/cnn-facial-landmark,405.0,132.0,36.0,none,none
arcelien/pba,405.0,79.0,12.0,ntensorflow-gpu,ntorchvision
danaugrs/huskarl,404.0,48.0,12.0,none,none
A-bone1/Attention-ocr-Chinese-Version,403.0,139.0,24.0,none,none
uber-research/sbnet,401.0,79.0,36.0,none,none
DmitryUlyanov/neural-style-audio-tf,398.0,101.0,48.0,none,none
virajmavani/semi-auto-image-annotation-tool,398.0,84.0,24.0,none,none
ScottfreeLLC/AlphaPy,398.0,97.0,48.0,b'name: alphapy\n\nchannels:\n - conda-forge\n\ndependencies:\n- bokeh>=1.3\n- ipython>=7.2\n- keras>=2.2\n- matplotlib>=3.0\n- numpy>=1.17\n- pandas>=1.0\n- pyyaml>=5.0\n- scikit-learn>=0.22\n- scipy>=1.1\n- seaborn>=0.9\n- tensorflow>=1.15\n- pip:\n  - arrow>=0.13\n  - category_encoders>=2.1\n  - iexfinance>=0.4.3\n  - imbalanced-learn>=0.5\n  - pandas-datareader>=0.8\n  - pyfolio>=0.9\n',none
mjdietzx/SimGAN,397.0,100.0,36.0,ntensorflow,none
koursaros-ai/nboost,397.0,42.0,12.0,none,none
ematvey/hierarchical-attention-networks,395.0,138.0,36.0,none,none
jiegzhan/multi-class-text-classification-cnn,394.0,200.0,48.0,none,none
yangxue0827/R2CNN_FPN_Tensorflow,394.0,143.0,36.0,none,none
Andrewnetwork/WorkshopScipy,394.0,44.0,36.0,none,none
cookeem/TensorFlow_learning_notes,392.0,144.0,36.0,none,none
microsoft/RockPaperScissorsLizardSpock,391.0,138.0,12.0,none,none
devsisters/pointer-network-tensorflow,389.0,108.0,36.0,none,none
ufal/neuralmonkey,388.0,106.0,48.0,"ntensorflow>=1.12.0,<1.13",none
NVIDIA-AI-IOT/tf_to_trt_image_classification,388.0,136.0,24.0,none,none
yangxue0827/FPN_Tensorflow,387.0,152.0,36.0,none,none
YinAoXiong/12306_code_server,386.0,117.0,12.0,none,none
MarvinTeichmann/KittiBox,385.0,170.0,48.0,none,none
hwalsuklee/tensorflow-mnist-VAE,385.0,157.0,36.0,none,none
Justin-Tan/generative-compression,382.0,81.0,24.0,none,none
jayparks/tf-seq2seq,382.0,114.0,36.0,none,none
hellochick/ICNet-tensorflow,381.0,155.0,36.0,none,none
amaiya/ktrain,381.0,92.0,12.0,none,none
hjptriplebee/Chinese_poem_generator,380.0,162.0,36.0,none,none
adipandas/multi-object-tracker,379.0,25.0,24.0,none,none
damianmoore/photonix,379.0,45.0,36.0,ntensorflow-estimator==2.1.0,none
rcmalli/keras-squeezenet,379.0,141.0,48.0,none,none
Bellspringsteen/OurCamera,378.0,37.0,24.0,none,none
PatWie/tensorflow-cmake,377.0,78.0,24.0,none,none
yongyehuang/zhihu-text-classification,377.0,157.0,36.0,none,none
tlkh/ai-lab,377.0,60.0,24.0,none,none
tsinghua-rll/VoxelNet-tensorflow,376.0,113.0,36.0,none,none
ildoonet/deepface,376.0,131.0,24.0,none,none
XanaduAI/strawberryfields,376.0,88.0,24.0,ntensorflow>=2.0,none
Vladkryvoruchko/PSPNet-Keras-tensorflow,374.0,157.0,36.0,ntensorflow-gpu,none
HRLTY/TP-GAN,373.0,115.0,24.0,none,none
shekit/alexa-sign-language-translator,370.0,93.0,24.0,none,none
soubhiksanyal/RingNet,370.0,82.0,12.0,ntensorflow-gpu==1.12.0,none
Linzaer/Face-Track-Detect-Extract,370.0,142.0,24.0,ntensorflow-gpu',none
miyosuda/unreal,369.0,129.0,48.0,none,none
MG2033/ShuffleNet,368.0,123.0,36.0,none,none
nicrusso7/rex-gym,368.0,36.0,12.0,ntensorflow==1.15.2,none
ahundt/awesome-robotics,366.0,92.0,36.0,none,none
ymcui/Chinese-ELECTRA,366.0,37.0,0.0,none,none
sampepose/flownet2-tf,365.0,191.0,36.0,none,none
RedisAI/RedisAI,367.0,37.0,48.0,none,none
Leavingseason/OpenLearning4DeepRecsys,363.0,144.0,36.0,none,none
ilovin/lstm_ctc_ocr,361.0,141.0,36.0,none,none
csxiaoyaojianxian/JavaScriptStudy,361.0,131.0,36.0,none,none
google/iree,362.0,60.0,12.0,none,none
spotify/featran,360.0,52.0,36.0,none,none
sjchoi86/advanced-tensorflow,358.0,122.0,48.0,none,none
aqibsaeed/Human-Activity-Recognition-using-CNN,358.0,196.0,48.0,none,none
nilboy/pixel-recursive-super-resolution,356.0,141.0,36.0,none,none
richardaecn/class-balanced-loss,356.0,41.0,24.0,none,none
zsdonghao/u-net-brain-tumor,355.0,163.0,36.0,none,none
pkmital/pycadl,354.0,68.0,36.0,ntensorflow==1.5.0,none
smallcorgi/3D-Deepbox,353.0,128.0,36.0,none,none
shamangary/FSA-Net,353.0,97.0,12.0,none,none
pangolulu/rnn-from-scratch,352.0,140.0,48.0,none,none
tensorlayer/tensorlayer-chinese,352.0,109.0,48.0,none,none
wagamamaz/tensorlayer-tricks,352.0,65.0,36.0,none,none
google-research/recsim,350.0,59.0,12.0,none,none
AlgoTraders/stock-analysis-engine,349.0,92.0,24.0,none,none
cydonia999/Tiny_Faces_in_Tensorflow,348.0,122.0,36.0,none,none
baldassarreFe/deep-koalarization,346.0,68.0,36.0,b'tensorflow==1.3.0,none
xwhan/DeepPath,346.0,84.0,36.0,none,none
marl/crepe,345.0,68.0,36.0,none,none
TimoBolkart/voca,345.0,107.0,12.0,ntensorflow-gpu==1.15.2,none
bourdakos1/CapsNet-Visualization,345.0,94.0,24.0,ntensorflow-tensorboard>=0.4.0,none
BishopFox/eyeballer,346.0,42.0,12.0,ntensorflow,none
reneweb/react-native-tensorflow,343.0,55.0,36.0,none,none
vdutor/TF-rex,340.0,56.0,36.0,ntensorflow-tensorboard==0.1.8,none
philferriere/tfoptflow,341.0,98.0,24.0,none,none
satojkovic/DeepLogo,340.0,130.0,60.0,none,none
tawnkramer/sdsandbox,336.0,107.0,36.0,none,none
shaqian/flutter_tflite,336.0,109.0,24.0,none,none
RandolphVI/Multi-Label-Text-Classification,335.0,100.0,36.0,ntensorflow_tensorboard==1.5.1,none
ycszen/TensorFlowLaboratory,334.0,137.0,48.0,none,none
mnicnc404/CartoonGan-tensorflow,334.0,102.0,12.0,none,none
benedekrozemberczki/MixHop-and-N-GCN,333.0,47.0,12.0,none,none
awjuliani/Meta-RL,333.0,94.0,36.0,none,none
kk7nc/RMDL,332.0,100.0,36.0,ntensorflow,none
mariusbrataas/flowpoints_ml,332.0,47.0,12.0,none,none
zhourunlai/learning,331.0,204.0,48.0,none,none
uvipen/AirGesture,331.0,104.0,12.0,none,none
hardikbansal/CycleGAN,330.0,205.0,36.0,none,none
mlachmish/MusicGenreClassification,330.0,78.0,48.0,none,none
hnarayanan/artistic-style-transfer,331.0,78.0,36.0,ntensorflow-tensorboard==0.4.0rc2,none
watsonyanghx/CNN_LSTM_CTC_Tensorflow,329.0,209.0,36.0,none,none
naturomics/CapsLayer,329.0,108.0,36.0,none,none
jaromiru/AI-blog,329.0,156.0,48.0,none,none
mari-linhares/mnist-android-tensorflow,328.0,71.0,36.0,none,none
skcript/tensorflow-resources,328.0,42.0,36.0,none,none
ypwhs/dl-engineer-guidebook,328.0,53.0,12.0,none,none
domluna/memn2n,327.0,142.0,60.0,none,none
liu-nlper/NER-LSTM-CRF,327.0,116.0,36.0,none,none
Breta01/handwriting-ocr,327.0,130.0,36.0,b'# This file may be used to create an environment using:\n# $ conda create --name <env> --file <this file>\n# platform: linux-64\n_tflow_select=2.3.0\nabsl-py=0.6.1\nastor=0.7.1\nbackcall=0.1.0\nblas=1.0\nbleach=3.0.2\nbzip2=1.0.6\nc-ares=1.15.0\nca-certificates=2018.03.07\ncairo=1.14.12\ncertifi=2018.10.15\ncycler=0.10.0\ndbus=1.13.2\ndecorator=4.3.0\nentrypoints=0.2.3\nexpat=2.2.6\nffmpeg=4.0\nfontconfig=2.13.0\nfreeglut=3.0.0\nfreetype=2.9.1\ngast=0.2.0\nglib=2.56.2\ngmp=6.1.2\ngraphite2=1.3.12\ngrpcio=1.14.1\ngst-plugins-base=1.14.0\ngstreamer=1.14.0\nh5py=2.8.0\nharfbuzz=1.8.8\nhdf5=1.10.2\nicu=58.2\nintel-openmp=2019.0\nipykernel=5.1.0\nipython=7.1.1\nipython_genutils=0.2.0\nipywidgets=7.4.2\njasper=2.0.14\njedi=0.13.1\njinja2=2.10\njpeg=9b\njsonschema=2.6.0\njupyter_client=5.2.3\njupyter_core=4.4.0\nkeras-applications=1.0.6\nkeras-preprocessing=1.0.5\nkiwisolver=1.0.1\nlibedit=3.1.20170329\nlibffi=3.2.1\nlibgcc-ng=8.2.0\nlibgfortran-ng=7.3.0\nlibglu=9.0.0\nlibopencv=3.4.2\nlibopus=1.3\nlibpng=1.6.35\nlibprotobuf=3.6.1\nlibsodium=1.0.16\nlibstdcxx-ng=8.2.0\nlibtiff=4.0.9\nlibuuid=1.0.3\nlibvpx=1.7.0\nlibxcb=1.13\nlibxml2=2.9.8\nmarkdown=3.0.1\nmarkupsafe=1.1.0\nmatplotlib=3.0.1\nmistune=0.8.4\nmkl\nmkl_fft=1.0.6\nmkl_random=1.0.1\nnbconvert=5.3.1\nnbformat=4.4.0\nncurses=6.1\nnotebook=5.7.1\nnumpy=1.15.4\nnumpy-base=1.15.4\nopencv=3.4.2\nopenssl=1.0.2p\npandoc=2.2.3.2\npandocfilters=1.4.2\nparso=0.3.1\npcre=8.42\npexpect=4.6.0\npickleshare=0.7.5\npip=18.1\npixman=0.34.0\nprometheus_client=0.4.2\nprompt_toolkit=2.0.7\nprotobuf=3.6.1\nptyprocess=0.6.0\npy-opencv=3.4.2\npygments=2.2.0\npyparsing=2.3.0\npyqt=5.9.2\npython=3.6.6\npython-dateutil=2.7.5\npytz=2018.7\npyzmq=17.1.2\nqt=5.9.6\nreadline=7.0\nscipy=1.1.0\nsend2trash=1.5.0\nsetuptools=40.6.2\nsimplejson=3.16.0\nsip=4.19.8\nsix=1.11.0\nsqlite=3.25.3\ntensorboard=1.12.0\ntensorflow=1.12.0\ntensorflow-base=1.12.0\ntermcolor=1.1.0\nterminado=0.8.1\ntestpath=0.4.2\ntk=8.6.8\ntornado=5.1.1\ntraitlets=4.3.2\nunidecode=1.0.22\nwcwidth=0.1.7\nwebencodings=0.5.1\nwerkzeug=0.14.1\nwheel=0.32.2\nwidgetsnbextension=3.4.2\nxz=5.2.4\nzeromq=4.2.5\nzlib=1.2.11\n',none
margaretmz/awesome-tflite,327.0,41.0,0.0,none,none
TensorFlowKR/dlcampjeju,326.0,54.0,36.0,none,none
bourdakos1/Custom-Object-Detection,325.0,179.0,36.0,none,none
Amin-Tgz/awesome-tensorflow-2,325.0,76.0,12.0,none,none
kerlomz/captcha_platform,323.0,126.0,24.0,ntensorflow==1.14.0,none
wangqingbaidu/Dr.Sure,322.0,101.0,36.0,none,none
nelson-liu/paraphrase-id-tensorflow,321.0,79.0,36.0,ntensorflow==1.1.0,none
mkocabas/pose-residual-network,321.0,88.0,24.0,none,none
LynnHo/DCGAN-LSGAN-WGAN-GP-DRAGAN-Tensorflow-2,321.0,97.0,36.0,none,none
NLPLearn/R-net,320.0,133.0,36.0,none,none
Elucidation/tensorflow_chessbot,320.0,65.0,48.0,none,none
githubharald/CTCWordBeamSearch,320.0,98.0,24.0,none,none
bilylee/SiamFC-TensorFlow,318.0,100.0,36.0,none,none
songdejia/Siamese-RPN-pytorch,317.0,81.0,24.0,none,none
paarthneekhara/byteNet-tensorflow,316.0,68.0,48.0,none,none
mdietrichstein/tensorflow-open_nsfw,316.0,117.0,36.0,none,none
titu1994/neural-architecture-search,316.0,85.0,36.0,none,none
HasnainRaz/Fast-SRGAN,316.0,43.0,12.0,b'tensorflow==2.0.1,none
pochih/RL-Chatbot,315.0,118.0,36.0,ntensorflow-gpu==1.0.1,none
pat-coady/trpo,314.0,98.0,36.0,none,none
HiKapok/SSD.TensorFlow,314.0,159.0,24.0,none,none
kengz/openai_lab,313.0,60.0,48.0,ntensorflow>=1.0.0,none
CyberZHG/keras-radam,313.0,41.0,12.0,none,none
leemengtaiwan/deep-learning-resources,312.0,46.0,12.0,none,none
